team_name,points_deducted,reason,season
Middlesbrough FC,3,Failure to show up for a match,1996/1997
Portsmouth FC,9,Club entered into administration,2009/2010
Everton FC,6,Failure to comply with PSR regulations,2023/2024
Everton FC,2,Failure to comply with PSR regulations,2023/2024
Nottingham Forest,4,Failure to comply with PSR regulations,2023/2024
